"ARETE","AÑO","Estado","SEXO","RAZA","COLOR","MIC_VG"
"116-13","2018","PT","H","HU","B","-3.8735"
"413-13","2018","PT","H","HU","B","-3.5729"
"325-10","2018","PT","H","HU","B","-3.5243"
"243-11","2018","PT","H","HU","B","-3.4547"
"302-08","2018","PT","H","HU","B","-3.3378"
"465-12","2018","PT","H","HU","B","-3.3114"
"600-10","2018","PT","H","HU","B","-3.2834"
"006-11","2018","PT","H","HU","B","-3.1338"
"494-12","2018","PT","H","HU","B","-3.0697"
"559-09","2018","PT","H","HU","B","-3.0407"
"116-18","2018","PT","H","HU","B","-2.9956"
"132-13","2018","PT","H","HU","B","-2.9001"
"057-07","2018","PT","H","HU","B","-2.8539"
"338-13","2018","PT","H","HU","B","-2.8472"
"215-14","2018","PT","H","HU","B","-2.8376"
"434-13","2018","PT","H","HU","B","-2.8292"
"344-18M","2018","PT","M","HU","B","-2.7772"
"092-09","2018","PT","H","HU","B","-2.7482"
"590-16","2018","PT","H","HU","B","-2.7377"
"336-12","2018","PT","H","HU","B","-2.7299"
"232-13","2018","PT","H","HU","B","-2.7238"
"350-12","2018","PT","H","HU","B","-2.7072"
"171-06","2018","PT","H","HU","B","-2.6771"
"409-10","2018","PT","H","HU","B","-2.6155"
"136-17M","2018","PT","M","HU","B","-2.6076"
"137-08","2018","PT","H","HU","B","-2.6024"
"100-11","2018","PT","H","HU","B","-2.6019"
"094-16","2018","PT","H","HU","B","-2.5818"
"242-12","2018","PT","H","HU","B","-2.5776"
"510-13","2018","PT","H","HU","B","-2.5764"
"224-10","2018","PT","H","HU","B","-2.5547"
"152-11","2018","PT","H","HU","B","-2.5501"
"327-13","2018","PT","H","HU","B","-2.5399"
"511-13M","2018","PT","M","HU","B","-2.5248"
"316-12","2018","PT","H","HU","B","-2.5045"
"481-18","2018","PT","H","HU","B","-2.4985"
"606-07","2018","PT","H","HU","B","-2.4916"
"474-18","2018","PT","H","HU","B","-2.4795"
"268-08","2018","PT","H","HU","B","-2.4696"
"402-18","2018","PT","H","HU","B","-2.4394"
"376-18","2018","PT","H","HU","B","-2.4198"
"623-18","2018","PT","H","HU","B","-2.4151"
"356-13","2018","PT","H","HU","B","-2.4072"
"489-11","2018","PT","H","HU","B","-2.3977"
"549-10","2018","PT","H","HU","B","-2.3898"
"292-10M","2018","PT","M","HU","B","-2.3755"
"408-16M","2018","PT","M","HU","B","-2.374"
"162-13","2018","PT","H","HU","B","-2.37"
"276-06","2018","PT","H","HU","B","-2.3697"
"425-08","2018","PT","H","HU","B","-2.3613"
"403-05","2018","PT","H","HU","B","-2.3508"
"230-13","2018","PT","H","HU","B","-2.3462"
"642-17M","2018","PT","M","HU","B","-2.3149"
"463-18","2018","PT","H","HU","B","-2.3081"
"053-17M","2018","PT","M","HU","B","-2.3075"
"551-08","2018","PT","H","HU","B","-2.2613"
"119-11","2018","PT","H","HU","B","-2.2583"
"244-14","2018","PT","H","HU","B","-2.2528"
"023-14M","2018","PT","M","HU","B","-2.2427"
"058-18","2018","PT","H","HU","B","-2.2249"
"081-17M","2018","PT","M","HU","B","-2.2233"
"360-17","2018","PT","H","HU","B","-2.2186"
"366-10","2018","PT","H","HU","B","-2.2101"
"433-12","2018","PT","H","HU","B","-2.2061"
"399-18","2018","PT","H","HU","B","-2.2011"
"363-08","2018","PT","H","HU","B","-2.1925"
"360-12","2018","PT","H","HU","B","-2.1925"
"321-17","2018","PT","H","HU","B","-2.1887"
"503-16","2018","PT","H","HU","B","-2.185"
"171-17M","2018","PT","M","HU","B","-2.1843"
"483-16","2018","PT","H","HU","B","-2.1677"
"148-12","2018","PT","H","HU","B","-2.1661"
"229-08","2018","PT","H","HU","B","-2.1612"
"529-06","2018","PT","H","HU","B","-2.1592"
"520-06","2018","PT","H","HU","B","-2.1518"
"304-12","2018","PT","H","HU","B","-2.1509"
"305-07","2018","PT","H","HU","B","-2.1411"
"523-18M","2018","PT","M","HU","B","-2.1276"
"405-18M","2018","PT","M","HU","B","-2.1212"
"345-12","2018","PT","H","HU","B","-2.1108"
"537-18M","2018","PT","M","HU","B","-2.1095"
"101-13","2018","PT","H","HU","B","-2.0847"
"362-17","2018","PT","H","HU","B","-2.0725"
"388-10M","2018","PT","M","HU","B","-2.0693"
"469-13","2018","PT","H","HU","B","-2.0533"
"361-12","2018","PT","H","HU","B","-2.0496"
"350-18M","2018","PT","M","HU","B","-2.0459"
"139-18","2018","PT","H","HU","B","-2.037"
"361-13","2018","PT","H","HU","B","-2.0226"
"374-05M","2018","PT","M","HU","B","-2.0212"
"172-11","2018","PT","H","HU","B","-2.0169"
"182-17M","2018","PT","M","HU","B","-2.012"
"468-17","2018","PT","H","HU","B","-2.0089"
"281-18M","2018","PT","M","HU","B","-1.998"
"263-10","2018","PT","H","HU","B","-1.9866"
"590-09","2018","PT","H","HU","B","-1.9859"
"128-18M","2018","PT","M","HU","B","-1.9839"
"304-07","2018","PT","H","HU","B","-1.9769"
"614-18","2018","PT","H","HU","B","-1.9739"
"320-09","2018","PT","H","HU","B","-1.9702"
"034-13M","2018","PT","M","HU","B","-1.9684"
"395-10","2018","PT","H","HU","B","-1.9676"
"096-17","2018","PT","H","HU","B","-1.9661"
"522-18","2018","PT","H","HU","B","-1.9627"
"164-17","2018","PT","H","HU","B","-1.9542"
"175-09","2018","PT","H","HU","B","-1.953"
"219-18","2018","PT","H","HU","B","-1.9417"
"271-18","2018","PT","H","HU","B","-1.9397"
"057-15M","2018","PT","M","HU","B","-1.9388"
"041-04","2018","PT","H","HU","B","-1.9358"
"287-13","2018","PT","H","HU","B","-1.933"
"052-16","2018","PT","H","HU","B","-1.9329"
"585-13","2018","PT","H","HU","B","-1.9303"
"584-07","2018","PT","H","HU","B","-1.9087"
"011-05","2018","PT","H","HU","B","-1.9062"
"591-08","2018","PT","H","HU","B","-1.9061"
"341-18","2018","PT","H","HU","B","-1.9041"
"164-11M","2018","PT","M","HU","B","-1.9013"
"303-10","2018","PT","H","HU","B","-1.8905"
"338-12","2018","PT","H","HU","B","-1.8829"
"273-13","2018","PT","H","HU","B","-1.8718"
"053-18M","2018","PT","M","HU","B","-1.8717"
"520-16","2018","PT","H","HU","B","-1.8659"
"476-17","2018","PT","H","HU","B","-1.8543"
"480-18","2018","PT","H","HU","B","-1.8451"
"468-13","2018","PT","H","HU","B","-1.8394"
"274-18","2018","PT","H","HU","B","-1.8356"
"239-10","2018","PT","H","HU","B","-1.8294"
"193-12","2018","PT","H","HU","B","-1.8249"
"049-18","2018","PT","H","HU","B","-1.818"
"375-18","2018","PT","H","HU","B","-1.8151"
"243-18M","2018","PT","M","HU","B","-1.8133"
"159-16","2018","PT","H","HU","B","-1.811"
"315-14","2018","PT","H","HU","B","-1.8109"
"487-18","2018","PT","H","HU","B","-1.8033"
"240-11M","2018","PT","M","HU","B","-1.7897"
"371-18M","2018","PT","M","HU","B","-1.789"
"212-14","2018","PT","H","HU","B","-1.7881"
"418-07","2018","PT","H","HU","B","-1.7879"
"220-17","2018","PT","H","HU","B","-1.7859"
"114-10","2018","PT","H","HU","B","-1.7727"
"138-18M","2018","PT","M","HU","B","-1.7697"
"056-17M","2018","PT","M","HU","B","-1.7669"
"348-14","2018","PT","H","HU","B","-1.7657"
"177-13","2018","PT","H","HU","B","-1.7564"
"383-13","2018","PT","H","HU","B","-1.7558"
"392-17","2018","PT","H","HU","B","-1.7557"
